iter	Passed	Remaining
0	2	2360
1	4	2275
2	6	2148
3	8	2103
4	10	2074
5	12	2050
6	14	2033
7	16	2049
8	18	2064
9	20	2029
10	22	2004
11	24	1997
12	26	1982
13	28	2004
14	30	1996
15	32	1983
16	34	1978
17	36	1984
18	38	1983
19	40	1977
20	42	1967
21	44	1978
22	46	1976
23	48	1980
24	50	1975
25	52	1969
26	54	1961
27	56	1959
28	58	1967
29	60	1959
30	62	1961
31	64	1948
32	66	1941
33	68	1937
34	69	1928
35	71	1926
36	73	1924
37	75	1919
38	78	1935
39	80	1932
40	82	1927
41	84	1931
42	86	1924
43	88	1924
44	90	1921
45	92	1915
46	94	1911
47	95	1903
48	98	1903
49	99	1897
50	101	1891
51	103	1885
52	105	1881
53	107	1875
54	109	1875
55	110	1869
56	112	1864
57	114	1859
58	116	1851
59	118	1849
60	120	1848
61	121	1844
62	123	1842
63	125	1839
64	127	1836
65	129	1834
66	131	1833
67	133	1828
68	135	1825
69	137	1820
70	138	1817
71	140	1813
72	142	1808
73	144	1803
74	147	1813
75	149	1812
76	150	1807
77	152	1803
78	154	1800
79	156	1796
80	158	1794
81	160	1791
82	160	1778
83	162	1773
84	164	1770
85	166	1766
86	168	1763
87	170	1762
88	171	1759
89	173	1758
90	175	1755
91	177	1752
92	179	1750
93	181	1745
94	183	1743
95	184	1740
96	186	1734
97	188	1731
98	189	1728
99	191	1726
100	193	1721
101	195	1716
102	196	1713
103	198	1710
104	200	1707
105	201	1703
106	203	1700
107	205	1699
108	207	1695
109	209	1693
110	210	1689
111	212	1685
112	214	1680
113	215	1677
114	218	1680
115	220	1679
116	222	1676
117	224	1675
118	225	1672
119	227	1668
120	229	1667
121	231	1663
122	232	1660
123	234	1657
124	236	1654
125	238	1651
126	239	1648
127	241	1644
128	243	1642
129	244	1639
130	246	1637
131	248	1635
132	250	1633
133	252	1630
134	253	1626
135	255	1623
136	257	1621
137	259	1622
138	261	1620
139	263	1618
140	265	1614
141	266	1608
142	267	1605
143	269	1603
144	271	1600
145	273	1598
146	274	1595
147	276	1591
148	278	1589
149	280	1589
150	282	1586
151	283	1583
152	285	1580
153	287	1577
154	289	1575
155	291	1575
156	293	1573
157	294	1571
158	296	1569
159	298	1567
160	300	1563
161	301	1561
162	303	1558
163	305	1556
164	307	1553
165	309	1552
166	310	1550
167	312	1546
168	314	1544
169	315	1541
170	317	1539
171	319	1538
172	321	1537
173	323	1535
174	325	1533
175	327	1531
176	328	1529
177	330	1528
178	332	1526
179	334	1523
180	336	1521
181	337	1518
182	339	1517
183	341	1515
184	343	1513
185	345	1510
186	346	1508
187	348	1506
188	350	1505
189	352	1503
190	354	1500
191	355	1497
192	357	1495
193	359	1494
194	361	1493
195	363	1490
196	365	1488
197	366	1485
198	368	1483
199	370	1481
200	372	1478
201	373	1476
202	375	1474
203	377	1471
204	378	1469
205	380	1467
206	382	1465
207	384	1462
208	385	1459
209	387	1458
210	389	1456
211	391	1455
212	393	1453
213	394	1450
214	396	1448
215	398	1445
216	400	1443
217	401	1441
218	403	1438
219	405	1436
220	407	1434
221	408	1431
222	410	1431
223	412	1428
224	414	1426
225	416	1424
226	417	1423
227	419	1421
228	421	1420
229	423	1417
230	425	1415
231	427	1413
232	428	1411
233	430	1409
234	432	1407
235	433	1404
236	435	1402
237	437	1400
238	438	1397
239	440	1395
240	442	1393
241	444	1391
242	445	1388
243	447	1387
244	449	1385
245	451	1384
246	453	1381
247	454	1379
248	456	1376
249	458	1374
250	459	1372
251	461	1370
252	463	1368
253	465	1366
254	466	1363
255	468	1361
256	470	1360
257	472	1358
258	474	1356
259	476	1354
260	477	1352
261	479	1350
262	481	1350
263	483	1349
264	485	1347
265	487	1344
266	489	1342
267	491	1341
268	492	1338
269	494	1336
270	496	1334
271	497	1332
272	499	1330
273	501	1328
274	503	1326
275	504	1324
276	506	1322
277	508	1320
278	510	1318
279	512	1317
280	513	1314
281	515	1312
282	517	1310
283	519	1308
284	520	1306
285	522	1304
286	524	1301
287	525	1299
288	527	1297
289	529	1295
290	531	1293
291	532	1292
292	534	1290
293	536	1288
294	538	1285
295	540	1284
296	542	1283
297	544	1281
298	545	1279
299	547	1277
300	549	1275
301	550	1273
302	552	1271
303	554	1269
304	556	1267
305	557	1264
306	559	1262
307	561	1260
308	562	1258
309	564	1256
310	566	1254
311	567	1252
312	569	1250
313	571	1248
314	573	1246
315	575	1244
316	576	1242
317	578	1240
318	580	1238
319	582	1236
320	583	1235
321	585	1233
322	587	1231
323	589	1229
324	591	1228
325	593	1227
326	595	1225
327	598	1225
328	599	1223
329	601	1222
330	603	1219
331	605	1218
332	607	1217
333	609	1215
334	611	1213
335	613	1211
336	615	1210
337	616	1208
338	618	1206
339	620	1205
340	622	1203
341	624	1201
342	626	1199
343	628	1197
344	630	1196
345	632	1195
346	634	1194
347	636	1192
348	638	1190
349	640	1188
350	642	1187
351	643	1185
352	645	1183
353	647	1181
354	649	1179
355	650	1177
356	652	1175
357	654	1173
358	656	1171
359	657	1169
360	659	1167
361	661	1166
362	663	1164
363	665	1162
364	667	1161
365	669	1159
366	671	1158
367	673	1156
368	675	1154
369	676	1152
370	678	1150
371	680	1149
372	682	1147
373	684	1145
374	686	1143
375	688	1142
376	689	1140
377	692	1138
378	693	1136
379	695	1134
380	697	1132
381	699	1131
382	700	1129
383	702	1127
384	704	1125
385	705	1122
386	707	1120
387	709	1119
388	711	1117
389	713	1116
390	715	1114
391	717	1112
392	718	1110
393	720	1108
394	722	1107
395	724	1105
396	726	1103
397	728	1101
398	729	1099
399	731	1097
400	733	1095
401	735	1093
402	737	1092
403	739	1090
404	741	1089
405	743	1087
406	745	1086
407	747	1084
408	748	1082
409	750	1079
410	752	1078
411	754	1076
412	756	1074
413	757	1072
414	759	1070
415	761	1068
416	763	1067
417	765	1065
418	766	1063
419	768	1061
420	770	1059
421	772	1057
422	774	1055
423	775	1054
424	777	1051
425	779	1050
426	781	1048
427	783	1046
428	785	1045
429	786	1043
430	788	1041
431	790	1039
432	792	1037
433	793	1035
434	795	1033
435	797	1031
436	799	1029
437	800	1027
438	803	1026
439	805	1024
440	806	1022
441	808	1020
442	810	1018
443	812	1017
444	814	1015
445	816	1013
446	817	1011
447	819	1009
448	821	1007
449	822	1005
450	824	1003
451	826	1001
452	827	999
453	829	997
454	831	995
455	833	994
456	835	992
457	837	990
458	839	988
459	840	986
460	842	985
461	844	983
462	846	981
463	848	979
464	849	977
465	851	975
466	853	973
467	854	971
468	856	969
469	858	968
470	860	966
471	862	964
472	864	963
473	866	961
474	868	959
475	869	957
476	871	955
477	873	954
478	875	952
479	876	950
480	878	948
481	880	946
482	882	944
483	884	942
484	886	940
485	888	939
486	889	937
487	891	935
488	893	933
489	895	931
490	896	929
491	898	927
492	900	925
493	902	924
494	904	922
495	906	920
496	908	918
497	909	917
498	911	915
499	913	913
500	914	911
501	916	909
502	918	907
503	920	905
504	921	903
505	923	901
506	925	900
507	927	898
508	929	896
509	930	894
510	933	892
511	934	891
512	936	889
513	938	887
514	940	885
515	942	884
516	944	882
517	946	880
518	948	878
519	949	876
520	951	874
521	953	873
522	955	871
523	957	869
524	958	867
525	960	865
526	962	863
527	964	862
528	966	860
529	968	858
530	969	856
531	971	854
532	973	852
533	974	850
534	976	848
535	978	846
536	979	844
537	981	842
538	982	840
539	984	838
540	986	837
541	988	835
542	990	833
543	992	831
544	994	830
545	996	828
546	998	826
547	999	824
548	1001	822
549	1003	820
550	1005	819
551	1007	817
552	1008	815
553	1010	813
554	1012	811
555	1014	810
556	1016	808
557	1018	806
558	1019	804
559	1021	802
560	1023	800
561	1025	799
562	1027	797
563	1028	795
564	1030	793
565	1032	791
566	1034	789
567	1036	788
568	1038	786
569	1039	784
570	1041	782
571	1043	780
572	1045	779
573	1047	777
574	1049	775
575	1050	773
576	1052	771
577	1054	770
578	1056	768
579	1058	766
580	1059	764
581	1061	762
582	1063	760
583	1065	759
584	1067	757
585	1068	755
586	1070	753
587	1072	751
588	1074	749
589	1076	748
590	1078	746
591	1079	744
592	1081	742
593	1083	740
594	1085	738
595	1087	736
596	1089	735
597	1090	733
598	1092	731
599	1094	729
600	1095	727
601	1097	725
602	1099	723
603	1101	722
604	1103	720
605	1105	718
606	1106	716
607	1108	714
608	1110	712
609	1111	710
610	1113	709
611	1115	707
612	1117	705
613	1119	703
614	1121	701
615	1122	699
616	1124	698
617	1126	696
618	1128	694
619	1130	692
620	1132	691
621	1134	689
622	1136	687
623	1138	685
624	1139	683
625	1141	681
626	1143	679
627	1144	678
628	1146	676
629	1148	674
630	1149	672
631	1151	670
632	1153	668
633	1155	666
634	1157	665
635	1158	663
636	1160	661
637	1161	659
638	1163	657
639	1165	655
640	1167	653
641	1169	651
642	1170	650
643	1172	648
644	1174	646
645	1176	644
646	1178	642
647	1179	640
648	1181	639
649	1183	637
650	1185	635
651	1186	633
652	1188	631
653	1190	629
654	1191	627
655	1193	625
656	1195	624
657	1197	622
658	1199	620
659	1200	618
660	1202	616
661	1203	614
662	1205	612
663	1207	611
664	1209	609
665	1211	607
666	1213	605
667	1214	603
668	1216	602
669	1218	600
670	1220	598
671	1222	596
672	1223	594
673	1225	592
674	1227	591
675	1229	589
676	1230	587
677	1232	585
678	1234	583
679	1236	581
680	1238	579
681	1240	578
682	1241	576
683	1243	574
684	1245	572
685	1247	570
686	1249	569
687	1250	567
688	1252	565
689	1254	563
690	1256	561
691	1258	560
692	1260	558
693	1262	556
694	1263	554
695	1265	552
696	1267	551
697	1269	549
698	1271	547
699	1272	545
700	1274	543
701	1276	541
702	1277	539
703	1279	537
704	1281	536
705	1282	534
706	1284	532
707	1286	530
708	1288	528
709	1290	526
710	1291	525
711	1293	523
712	1294	521
713	1296	519
714	1298	517
715	1300	515
716	1301	513
717	1303	512
718	1305	510
719	1307	508
720	1309	506
721	1310	504
722	1312	502
723	1314	501
724	1316	499
725	1318	497
726	1320	495
727	1321	493
728	1323	492
729	1325	490
730	1327	488
731	1329	486
732	1330	484
733	1332	482
734	1334	481
735	1335	479
736	1337	477
737	1339	475
738	1341	473
739	1342	471
740	1344	469
741	1346	468
742	1348	466
743	1349	464
744	1351	462
745	1353	460
746	1354	458
747	1356	457
748	1358	455
749	1360	453
750	1361	451
751	1363	449
752	1365	447
753	1367	446
754	1368	444
755	1370	442
756	1372	440
757	1374	438
758	1375	436
759	1377	435
760	1379	433
761	1381	431
762	1383	429
763	1384	427
764	1387	426
765	1389	424
766	1391	422
767	1392	420
768	1394	418
769	1396	417
770	1397	415
771	1399	413
772	1401	411
773	1402	409
774	1404	407
775	1406	406
776	1408	404
777	1410	402
778	1411	400
779	1413	398
780	1415	396
781	1417	395
782	1419	393
783	1420	391
784	1422	389
785	1424	387
786	1426	385
787	1428	384
788	1429	382
789	1431	380
790	1433	378
791	1435	376
792	1437	375
793	1439	373
794	1441	371
795	1442	369
796	1444	367
797	1446	366
798	1448	364
799	1450	362
800	1452	360
801	1454	359
802	1456	357
803	1458	355
804	1460	353
805	1461	351
806	1463	350
807	1465	348
808	1467	346
809	1469	344
810	1470	342
811	1472	340
812	1474	339
813	1475	337
814	1477	335
815	1479	333
816	1481	331
817	1482	329
818	1484	328
819	1486	326
820	1487	324
821	1489	322
822	1491	320
823	1493	318
824	1495	317
825	1496	315
826	1499	313
827	1500	311
828	1502	309
829	1504	308
830	1506	306
831	1508	304
